MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType,Length,Width
1,1737971941.0,932.9417706140887,319.72987869758526,49.996,90.04,90.04,CAR,car,10.0,3.333
2,1737971941.0,935.8314814534817,78.90546376471968,47.152,104.784,104.784,CAR,car,10.0,3.333
3,1737971941.0,990.0000000240616,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971941.0,990.0000000240616,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971941.4,952.9406810509215,319.7536432910403,49.997,89.932,89.932,CAR,car,10.0,3.333
2,1737971941.4,954.7721839102417,76.15424679262098,47.849,98.265,98.265,CAR,car,10.0,3.333
3,1737971941.4,1010.000000014437,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971941.4,1010.000000014437,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971941.8,972.9399176933293,319.80978167287384,49.998,89.839,89.839,CAR,car,10.0,3.333
2,1737971941.8,974.1078403886444,75.18131636259106,48.4,92.881,92.881,CAR,car,10.0,3.333
3,1737971941.8,1030.0000000086623,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971941.8,1030.0000000086623,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971942.2,992.9394507138686,319.85544127938596,49.999,89.869,89.869,CAR,car,10.0,3.333
2,1737971942.2,993.7033804125043,74.9035442859482,48.994,90.812,90.812,CAR,car,10.0,3.333
3,1737971942.2,1050.0000000051973,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971942.2,1050.0000000051973,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971942.6,1012.9391632334803,319.89363904943275,49.999,89.891,89.891,CAR,car,10.0,3.333
2,1737971942.6,1013.451525125617,75.12000577119464,49.373,89.372,89.372,CAR,car,10.0,3.333
3,1737971942.6,1070.0000000031184,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
4,1737971942.6,1070.0000000031184,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971943.0,1032.9389847751934,319.9263311871263,50.0,89.906,89.906,CAR,car,10.0,3.333
2,1737971943.0,1033.2877253391132,75.7002434951833,49.612,88.324,88.324,CAR,car,10.0,3.333
3,1737971943.0,1086.0698344988118,206.8874122257573,43.709,66.8,66.8,CAR,car,10.0,3.333
4,1737971943.0,1090.000000001871,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971943.4,1052.938872873117,319.95473473734336,50.0,89.919,89.919,CAR,car,10.0,3.333
2,1737971943.4,1053.1728806856747,76.56293652807307,49.76,87.516,87.516,CAR,car,10.0,3.333
3,1737971943.4,1099.4834012441881,218.07496659248076,43.667,50.17,50.17,CAR,car,10.0,3.333
4,1737971943.4,1110.0000000011225,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971943.8,1072.9388020313309,319.9794715818983,50.0,89.929,89.929,CAR,car,10.0,3.333
