mmsi,year,flag_ais,flag_registry,flag_gfw,vessel_class_inferred,vessel_class_inferred_score,vessel_class_registry,vessel_class_gfw,self_reported_fishing_vessel,length_m_inferred,length_m_registry,length_m_gfw,engine_power_kw_inferred,engine_power_kw_registry,engine_power_kw_gfw,tonnage_gt_inferred,tonnage_gt_registry,tonnage_gt_gfw,registries_listed,active_hours,fishing_hours,vessel_class_mapped
441254567,2023,KOR,,KOR,set_longlines,0.708,,set_longlines,False,31.194,,31.194,310.267,,310.267,224.817,,224.817,,951.1376,659.7807,longliner
441258888,2023,KOR,,KOR,trawlers,0.999,,trawlers,True,21.202,,21.202,316.237,,316.237,95.372,,95.372,,445.4139,176.68389999999997,trawler
441272000,2023,KOR,KOR,KOR,fishing,0.872,fishing,fishing,True,52.596,,52.596,1688.08,,1688.08,533.0,390.0,390.0,IMO,7580.673099999997,446.68640000000016,trawler
441298000,2023,KOR,KOR,KOR,squid_jigger,0.85,squid_jigger,squid_jigger,False,46.828,51.5,51.5,850.04,1193.0,1193.0,485.861,626.1,626.1,CORR2|FAO|IMO|NPFC|OWNER|SPRFMO|SPRFMO2,4303.858299999999,1277.6482999999998,longliner
441303000,2023,KOR,KOR,KOR,squid_jigger,0.67,squid_jigger,squid_jigger,True,46.465,51.5,51.5,992.364,1119.0,1119.0,490.117,625.5,625.5,CORR2|FAO|IMO|NPFC|OWNER|SPRFMO|SPRFMO2,4991.977600000004,1141.2584999999997,longliner
441303390,2023,KOR,,KOR,pole_and_line,0.619,,pole_and_line,True,23.506,,23.506,891.088,,891.088,41.395,,41.395,,2862.3042000000014,1203.7285999999997,other
441309000,2023,KOR,KOR,KOR,trawlers,0.889,trawlers,trawlers,True,61.255,55.7,55.7,1287.571,,1287.571,1156.299,413.0,413.0,CORR2|FAO|IMO|OWNER,8188.717600000004,5461.569200000001,trawler
441321198,2023,KOR,,KOR,trawlers,1.0,,trawlers,True,39.658,,39.658,188.56,,188.56,242.82,,242.82,,419.5528000000001,323.1069,trawler
441322538,2023,KOR,,KOR,trawlers,1.0,,trawlers,True,27.337,,27.337,491.401,,491.401,116.646,,116.646,,547.789,378.8688,trawler
441330000,2023,KOR,KOR,KOR,squid_jigger,0.934,squid_jigger,squid_jigger,True,52.83,50.8,50.8,1095.301,970.0,970.0,662.382,603.5,603.5,CORR2|FAO|IMO|NPFC|OWNER|SPRFMO|SPRFMO2,5371.850699999999,1247.7101999999993,longliner
441336599,2023,KOR,,KOR,trawlers,0.956,,trawlers,True,32.814,,32.814,427.819,,427.819,215.569,,215.569,,933.7267,248.18410000000003,trawler
441341000,2023,KOR,KOR,KOR,drifting_longlines,0.999,drifting_longlines,drifting_longlines,True,50.59,50.3,50.3,745.73,746.0,746.0,451.784,384.5,384.5,FAO|FFA|IATTC|ICCAT|ICCAT2|IMO|IOTC|ISSF2|ISSF3|OPRT|WCPFC|WCPFC2,7216.1527,4275.1475,longliner
441341689,2023,KOR,,KOR,trawlers,0.964,,trawlers,False,22.459,,22.459,302.825,,302.825,109.931,,109.931,,2821.524399999998,2414.403,trawler
441345588,2023,KOR,,KOR,trawlers,1.0,,trawlers,False,29.268,,29.268,381.88,,381.88,136.486,,136.486,,424.5058,187.4747,trawler
